CustomerID,CustomerName,NRIC,Month,WaterConsumption(Liters),WaterQualityIndex,TDS(ppm),pHLevel,ChlorineLevel(mg/L),CustomerFeedback,BillingAmount($)
1024,,S4074678Q,2025-01,1338,95,217,7.4,0.64,5,26.76
1025,Alice Johnson,S7799899Z,2025-01,1093,69,282,6.7,0.6,5,21.86
1026,Emily Brown,S5761914L,2025-01,2761,100,241,7.2,0.31,1,55.22
1027,James White,S3080481O,2025-01,649,79,264,8.4,0.51,1,12.98
1028,Eva Davis,T1788307R,2025-01,2119,65,298,7.7,0.69,2,42.38
1029,Tom Ng,T697737674W,2025-01,4753,89,235,6,0.63,5,95.06
1030,Jane Lim,T5444064Z,2025-01,4673,100,221,8.2,0.54,,93.46
1031,John Ng,T8275461O,2025-01,4706,51,238,7.4,0.43,1,94.12
1032,Lily Clark,T0867176V,2025-01,3646,89,146,8.2,0.6,5,72.92
1033,Bob Lim,T4061364N,2025-01,904,66,173,6.2,0.52,4,18.08
1034,James Lee,T4337790D,2025-01,1041,75,155,7.3,0.21,2,20.82
1035,John Adams,S0044731A,2025-01,4033,80,106,8.1,0.2,,80.66
1036,Tom Doe,S2442825T,2025-01,1154,85,254,7.3,0.71,4,-66.63
1037,John Brown,S2476827X,2025-01,4233,69,241,7.6,0.8,1,84.66
1038,Alice Lee,S5650146D,2025-01,4051,53,199,6.7,0.2,1,-82.81
1039,John Smith,T277597329C,2025-01,2780,54,287,8,81.36,1,55.6
1040,Eva Johnson,S5076277E,2025-01,4137,53,110,6.8,0.78,2,82.74
1041,Alice Lim,T3223304K,2025-01,1437,91,228,8.3,0.55,2,28.74
1042,Lily Doe,T8185164D,2025-01,1885,95,121,6.5,0.59,5,37.7
1043,Bob Brown,S4898946G,2025-01,3967,85,173,6.3,0.51,3,79.34
1044,John Tan,S5278426C,2025-01,3877,60,111,7.3,0.36,4,77.54
1045,Lily Clark,S9939389Q,2025-01,2723,87,133,6.9,0.74,,54.46
1046,Lily Adams,T5454806L,2025-01,2308,50,151,8.2,0.51,1,46.16
1047,Sarah Doe,T6111252R,2025-01,1018,99,176,7.6,0.48,2,20.36
1048,Tom Smith,S9186349W,2025-01,1915,67,143,6.2,0.6,1,38.3
1049,Alice Doe,T7234928F,2025-01,2878,56,284,6.4,73.49,2,57.56
1050,James Lee,S9521607O,2025-01,580,68,104,7.7,0.5,2,11.6
1051,Emily Brown,T6274102M,2025-01,4141,67,211,8.4,0.71,4,82.8251
1052,Chris Brown,T4120838R,2025-01,3556,79,174,7.2,0.39,4,71.12
1053,Jane Smith,S7315355Q,2025-01,4525,87,226,6.6,0.29,2,90.5
1054,Chris Johnson,S4506709P,2025-01,4514,61,268,7.5,0.28,,90.28
1055,,T460042127D,2025-01,4432,74,113,6,0.28,2,88.64
1056,James Adams,S3274720B,2025-01,2740,69,124,6.1,0.67,3,54.8
1057,Bob Adams,S4810345B,2025-01,2692,59,127,7.4,0.77,3,53.84
1058,John Smith,T3133450P,2025-01,4444,78,157,7.8,0.25,1,88.88
1059,Sarah Lee,S8190956M,2025-01,4764,59,121,7.6,0.79,4,95.2859
1060,Eva Johnson,S0646899F,2025-01,3595,59,241,8.1,88.21,5,71.9
1061,Eva Johnson,S2844183Y,2025-01,2094,87,245,7.9,0.47,1,41.88
1062,Eva Johnson,S8773561L,2025-01,3524,89,268,6.3,0.67,2,70.48
1063,Bob Ng,T5370385T,2025-01,3225,93,254,7.9,0.62,,64.5
1064,Chris Adams,T3094282O,2025-01,1179,65,165,6.1,0.69,1,23.58
1065,,S1953962Y,2025-01,4007,66,217,6,0.28,1,80.14
1066,Eva Clark,S3704329S,2025-01,2291,89,257,6.7,0.7,4,45.82
1067,Tom Brown,S4193638I,2025-01,2816,59,141,6.4,0.38,2,-71.42
1068,Sarah Adams,T4437657U,2025-01,2242,73,237,6.9,0.75,5,44.84
1069,,S0968967V,2025-01,4152,85,181,7.1,0.79,5,83.04
1070,Alice Clark,S0989988S,2025-01,4117,88,290,6.5,0.28,,82.34
1071,Sarah Adams,S5069890F,2025-01,4044,94,195,7.7,0.49,5,80.88
1072,Jane Johnson,S0125133D,2025-01,1103,93,100,7.3,0.74,,22.06
1073,Emily Davis,S1784619T,2025-01,3088,55,205,6.8,0.47,2,61.76
1074,Sarah Doe,S1495081B,2025-01,1650,54,229,7.9,0.49,,33
1075,Bob Johnson,S5100658I,2025-01,1412,84,208,6.5,0.51,,28.24
1076,Eva Lee,T6841439A,2025-01,3811,88,299,8.3,0.53,2,76.22
1077,Tom Lee,S0188876S,2025-01,4465,58,217,6.7,0.65,2,89.3
1078,Chris Davis,T5100899M,2025-01,2195,60,293,8.5,0.71,3,43.9
1079,Chris Brown,T1206203Y,2025-01,3641,87,147,7.6,95.78,4,72.82
1080,Lily Lee,T0737142K,2025-01,2522,60,252,6.7,0.58,1,50.44
1081,Lily Tan,S0002517H,2025-01,1352,82,118,8.5,0.75,4,27.04
1082,Bob Doe,S9173687D,2025-01,1280,87,143,8.3,0.34,2,25.6
1083,Lily Brown,S9593009A,2025-01,4847,71,148,8.3,0.51,5,96.94
1084,Bob Adams,S1401728V,2025-01,3566,66,221,6.3,0.31,,71.32
1085,James Ng,S6382400Y,2025-01,4152,66,104,8.5,0.23,1,83.04
1086,James Ng,T1823414B,2025-01,4430,70,143,6.2,0.68,5,88.6
1087,Eva Tan,S5809099L,2025-01,4760,82,287,8.4,0.44,3,95.2
1088,Jane Clark,S1189427E,2025-01,2597,95,155,7.7,0.36,,51.94
1089,Lily Tan,T0793195L,2025-01,1539,77,103,8.3,0.49,1,30.78
1090,Greg Clark,T8247923L,2025-01,4736,83,200,8.5,0.42,1,94.72
1091,Tom Adams,T4454864P,2025-01,2984,95,123,7.9,0.7,2,59.68
1092,Emily Davis,S4853659T,2025-01,2107,82,239,6.6,0.64,2,42.14
1093,Eva Brown,S0341548P,2025-01,3428,77,164,7.5,0.56,,68.56
1094,Chris Ng,S8692693H,2025-01,585,84,187,7.4,99.83,1,11.7
1095,Sarah Davis,T4829741M,2025-01,2454,67,253,7.7,0.26,3,49.08
1096,Bob Adams,T4477062N,2025-01,2630,66,128,7,0.75,1,52.6
1097,John Davis,T6365381S,2025-01,3401,62,171,7.5,0.77,3,68.02
1098,Sarah Ng,T2275902V,2025-01,624,94,206,6.8,0.4,3,12.48
1099,Emily Smith,S7683234E,2025-01,3309,84,253,6.2,0.42,,66.18
1100,John Johnson,S5138681L,2025-01,927,87,153,6.8,0.41,2,18.54
